gfha-janezu,T6,T
BUta-BAvaH,T6,T
yAtrA-arTam,T4,T
aSva-sutaH,T6,T
viSudDa-AtmA,Bs6,B
katipaya-divasAnAm,K1,K
maDye-pravAham,A7,A
BikzA-awanena,T4,T
taTA-viDaH,Bs5,B
patra-kArI,U,T
kUzmARqa-Palam,K7,K
mahat-rAjaH,K1,K
na-sakft,Tn,T
Darmma-SAstram,T6,T
sa-SaMkaH,BvS,B
yAdava-pramuKAH,T7,T
jala-niDim,T6,T
maDya-rAtre,T1,T
gfdDa-rUpam,T6,T
mahat-rAjena,K1,K
tattva-vit,U,T
tulasI-devyAH,K7,K
prastara-pawwam,T6,T
agni-praveSena,T7,T
Atman-vizayam,T6,T
nir-ASIH,Bs5,B
parama-suKinam,K1,K
DUmapAna-guRAH,T6,T
kfzRa-varRIyaH,K1,K
na-AyAsena,Tn,T
pra-rudantI,Tp,T
pari-rakzan,Tp,T
kAyA-agniM,T6,T
Davala-aNgaH,Bs6,B
sva-svAminam,T6,T
arTa-kAmAn,Di,D
Bojana-arTam,T4,T
liyU-parivAram,T6,T
na-icCan,Tn,T
na-sataH,Tn,T
tat-gatAH,T2,T
vfdDa-sADoH,K1,K
mahat-bAho,Bs6,B
na-pUrvam,Bsmn,B
sTita-prajYaH,Bs6,B
na-svasTA,Tn,T
hima-SuBrA,K5,K
nAnA-viDAH,K1,K
sAyam-kAle,T1,T
pra-sahya,Tg,T
pIWa-dvAre,T6,T
jihvAmUla-gataM,T2,T
na-jAnan,Tn,T
na-svasTaH,Tn,T
Sabda-AdiBiH,Bs6,B
manuzya-ganDam,T6,T
anu-caraH,S,D
sam-utsukO,Tp,T
sampAti-vacanam,T6,T
divya-SaktInAm,K1,K
ati-prasannam,K1,K
apara-rAjyAt,T6,T
mAnasika-sTitiH,K1,K
avaSyam-BAvinI,S,D
Palaka-upari,T6,T
pAka-kalA,T6,T
dAna-rUpeRa,T6,T
karuRA-pUrRam,T3,T
kfpaRa-kAraRam,T6,T
tat-kzaRam,K1,K
asmad-vacanAt,T6,T
